@relation input_1

@attribute item_0 {t}
@attribute item_1 {t}
@attribute item_2 {t}
@attribute item_3 {t}
@attribute item_4 {t}
@attribute item_5 {t}
@attribute item_6 {t}
@attribute item_7 {t}
@attribute item_8 {t}
@attribute item_9 {t}
@attribute item_10 {t}
@attribute item_11 {t}
@attribute item_12 {t}
@attribute item_13 {t}
@attribute item_14 {t}
@attribute item_15 {t}
@attribute item_16 {t}
@attribute item_17 {t}
@attribute item_18 {t}
@attribute item_19 {t}
@attribute item_20 {t}
@attribute item_21 {t}
@attribute item_22 {t}
@attribute item_23 {t}
@attribute item_24 {t}
@attribute item_25 {t}
@attribute item_26 {t}
@attribute item_27 {t}
@attribute item_28 {t}
@attribute item_29 {t}
@attribute item_30 {t}
@attribute item_31 {t}
@attribute item_32 {t}
@attribute item_33 {t}
@attribute item_34 {t}
@attribute item_35 {t}
@attribute item_36 {t}
@attribute item_37 {t}
@attribute item_38 {t}
@attribute item_39 {t}
@attribute item_40 {t}
@attribute item_41 {t}
@attribute item_42 {t}
@attribute item_43 {t}
@attribute item_44 {t}
@attribute item_45 {t}
@attribute item_46 {t}
@attribute item_47 {t}
@attribute item_48 {t}
@attribute item_49 {t}
@attribute item_50 {t}
@attribute item_51 {t}
@attribute item_52 {t}
@attribute item_53 {t}
@attribute item_54 {t}
@attribute item_55 {t}
@attribute item_56 {t}
@attribute item_57 {t}
@attribute item_58 {t}
@attribute item_59 {t}
@attribute item_60 {t}
@attribute item_61 {t}
@attribute item_62 {t}
@attribute item_63 {t}
@attribute item_64 {t}
@attribute item_65 {t}
@attribute item_66 {t}
@attribute item_67 {t}
@attribute item_68 {t}
@attribute item_69 {t}
@attribute item_70 {t}
@attribute item_71 {t}
@attribute item_72 {t}
@attribute item_73 {t}
@attribute item_74 {t}
@attribute item_75 {t}
@attribute item_76 {t}
@attribute item_77 {t}
@attribute item_78 {t}
@attribute item_79 {t}
@attribute item_80 {t}
@attribute item_81 {t}
@attribute item_82 {t}
@attribute item_83 {t}
@attribute item_84 {t}
@attribute item_85 {t}
@attribute item_86 {t}
@attribute item_87 {t}
@attribute item_88 {t}
@attribute item_89 {t}
@attribute item_90 {t}
@attribute item_91 {t}
@attribute item_92 {t}
@attribute item_93 {t}
@attribute item_94 {t}
@attribute item_95 {t}
@attribute item_96 {t}
@attribute item_97 {t}
@attribute item_98 {t}
@attribute item_99 {t}

@data

?,t,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
t,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,t,?,?,?,t,?,?
?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,t,t,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?
t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,t,?,?,?,t,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,t,?,?,?,?,?
