Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Choosed
15,female,teacher,AB,171,87,doctor,82,no
55,male,scientest,O,194,97,primary,3400,no
80,female,chef,B,178,45,junior high,970,no
17,male,chef,AB,196,44,senior high,52,no
19,third,neet,A,171,76,university,5200,no
20,third,neet,AB,179,55,doctor,84,no
38,third,chef,AB,197,51,university,280,yes
36,female,neet,A,175,93,primary,9800,no
21,male,neet,AB,180,43,university,5500,no
10,female,neet,AB,155,93,doctor,82,no
0,male,student,B,194,38,doctor,100,no
50,third,salesman,O,150,74,senior high,140,no
8,third,salesman,AB,159,99,master,440,no
68,third,neet,A,185,45,primary,4200,no
70,male,student,AB,183,72,master,8400,no
68,female,engineer,B,160,67,primary,83,no
92,male,teacher,B,141,96,primary,50,no
71,male,programmer,A,175,88,primary,79,no
4,male,scientest,B,144,71,primary,5200,no
63,third,singer,A,194,45,senior high,9600,no
20,third,neet,AB,169,94,master,13,no
9,female,engineer,AB,144,47,junior high,2800,no
50,female,student,B,155,99,doctor,800,no
37,female,neet,AB,166,45,doctor,90,no
78,female,scientest,A,193,37,senior high,7400,no
49,male,salesman,B,159,81,senior high,8800,no
48,female,student,O,179,60,primary,98,no
84,female,neet,B,196,66,university,900,no
88,male,chef,B,165,98,doctor,9400,no
20,female,programmer,B,155,59,university,8600,no
6,female,salesman,AB,195,53,junior high,7600,no
27,female,scientest,B,195,93,junior high,8500,no
21,third,singer,B,188,54,doctor,32,no
62,male,teacher,A,166,64,university,1500,no
8,male,chef,AB,173,54,university,56,no
2,third,neet,B,163,79,university,740,no
48,third,programmer,O,148,44,primary,84,no
25,third,student,AB,150,90,master,700,no
9,male,teacher,B,172,36,primary,61,yes
14,male,scientest,B,178,83,junior high,120,no
3,male,neet,O,196,90,junior high,3,no
83,third,scientest,A,169,90,university,310,no
44,third,teacher,A,195,45,primary,7700,no
62,female,scientest,A,189,92,primary,7900,no
64,female,programmer,AB,192,65,university,130,no
87,female,engineer,B,188,36,senior high,1000,no
20,male,teacher,B,176,44,senior high,900,no
16,female,student,O,145,76,doctor,61,yes
13,third,singer,O,158,74,primary,1,no
58,third,student,B,178,44,senior high,90,no
16,female,singer,B,152,82,primary,200,no
8,third,teacher,A,186,77,university,300,no
69,female,salesman,A,152,48,doctor,1100,no
19,third,scientest,B,149,66,senior high,60,no
