Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Cosplay

	33,	female,	programmer,	AB,	168,	45,	senior high,	7700,	yes

	36,	female,	engineer,	B,	184,	43,	university,	390,	no

	99,	third,	scientest,	B,	165,	79,	doctor,	570,	yes

	14,	male,	teacher,	B,	156,	53,	senior high,	13,	no

	16,	male,	salesman,	O,	151,	95,	master,	1900,	yes

	11,	third,	scientest,	AB,	160,	37,	primary,	210,	no

	80,	third,	engineer,	A,	167,	50,	senior high,	800,	no

	45,	third,	neet,	A,	162,	44,	primary,	86,	no

	45,	female,	salesman,	A,	178,	72,	junior high,	300,	no

	25,	third,	scientest,	B,	165,	39,	junior high,	93,	no

	21,	male,	neet,	A,	197,	79,	doctor,	520,	no

	94,	female,	neet,	B,	184,	74,	senior high,	890,	no

	94,	male,	engineer,	AB,	160,	73,	primary,	1800,	yes

	99,	third,	student,	A,	148,	77,	master,	6700,	yes

	6,	female,	scientest,	AB,	161,	67,	senior high,	3200,	no

	6,	third,	neet,	A,	146,	37,	university,	46,	yes

	92,	female,	student,	O,	154,	67,	master,	150,	no

	40,	third,	programmer,	O,	194,	44,	doctor,	350,	no

	4,	male,	chef,	AB,	149,	55,	senior high,	330,	no

	62,	female,	student,	B,	176,	93,	university,	10000,	no

	77,	third,	programmer,	O,	172,	77,	university,	730,	yes

	68,	third,	teacher,	O,	151,	75,	junior high,	150,	no

	72,	female,	chef,	AB,	193,	86,	doctor,	99,	no

	14,	third,	programmer,	A,	147,	52,	doctor,	32,	no

	75,	female,	salesman,	O,	143,	62,	primary,	6300,	no

	99,	male,	scientest,	AB,	140,	76,	junior high,	440,	yes

	28,	female,	singer,	B,	157,	89,	master,	84,	no

	99,	male,	salesman,	O,	181,	88,	doctor,	930,	yes

	57,	third,	student,	A,	151,	75,	master,	5800,	no

	87,	third,	singer,	B,	173,	60,	junior high,	570,	yes

	76,	female,	programmer,	O,	192,	66,	primary,	92,	yes

	44,	female,	programmer,	O,	148,	66,	doctor,	1800,	yes

	45,	male,	neet,	B,	189,	36,	university,	9400,	yes

	41,	female,	chef,	B,	151,	35,	senior high,	6400,	no

	32,	third,	engineer,	O,	193,	57,	junior high,	83,	no

	47,	third,	salesman,	B,	145,	70,	doctor,	2000,	no

	33,	male,	programmer,	A,	153,	56,	doctor,	6700,	yes

	92,	male,	chef,	O,	198,	84,	university,	6800,	yes

	86,	third,	singer,	O,	170,	93,	doctor,	17,	no

	30,	female,	engineer,	A,	177,	71,	primary,	790,	yes

	42,	male,	teacher,	A,	186,	68,	primary,	890,	no

	89,	female,	engineer,	O,	190,	42,	senior high,	5,	no

	53,	male,	teacher,	B,	188,	36,	senior high,	72,	yes

	33,	third,	engineer,	O,	195,	61,	doctor,	1500,	no

	27,	female,	programmer,	AB,	182,	75,	junior high,	1600,	yes

	74,	third,	neet,	B,	184,	68,	primary,	940,	no

	93,	third,	neet,	AB,	159,	94,	senior high,	9700,	no

	82,	female,	programmer,	B,	182,	65,	master,	23,	yes

	65,	male,	student,	B,	161,	90,	senior high,	84,	no

	55,	male,	programmer,	A,	185,	52,	primary,	3300,	no

	61,	female,	singer,	A,	173,	62,	primary,	96,	yes

	76,	female,	student,	B,	184,	57,	senior high,	920,	yes

	76,	third,	engineer,	AB,	177,	92,	primary,	97,	yes

	5,	female,	neet,	O,	190,	46,	university,	69,	yes

	67,	third,	chef,	B,	149,	87,	university,	740,	no

	35,	male,	teacher,	B,	196,	61,	university,	49,	no

	67,	female,	student,	B,	153,	69,	primary,	9700,	yes

