Age,Gender,Occupations,Blood group,Height,Weight,Education,Choosed
76,male,programmer,O,142,86,doctor,no
44,third,neet,B,142,71,doctor,no
15,male,neet,O,193,86,senior high,no
31,female,teacher,AB,197,88,university,no
55,female,neet,A,190,80,primary,no
84,female,scientest,B,197,37,senior high,no
46,male,singer,AB,176,70,primary,no
76,male,teacher,O,161,71,master,no
36,female,programmer,O,189,61,senior high,yes
98,female,teacher,A,140,78,senior high,no
76,female,student,AB,148,95,master,no
60,third,programmer,B,147,57,senior high,no
59,third,singer,AB,156,40,university,no
48,third,chef,A,174,98,senior high,yes
45,third,neet,B,163,96,senior high,no
59,male,student,AB,147,75,university,no
36,third,student,B,140,86,master,no
25,female,neet,AB,142,54,university,no
47,third,singer,O,167,66,doctor,no
40,male,scientest,A,191,37,senior high,no
93,male,student,B,175,44,primary,no
42,third,singer,B,172,94,primary,no
71,male,student,A,195,36,master,no
42,male,salesman,A,171,36,senior high,no
75,third,singer,B,187,35,doctor,no
34,third,salesman,O,164,60,doctor,yes
92,third,student,AB,170,68,doctor,no
30,male,teacher,AB,195,95,senior high,no
11,female,engineer,B,194,57,primary,no
20,female,student,B,177,60,master,no
42,male,scientest,A,176,37,primary,no
80,third,scientest,O,150,41,senior high,no
8,female,programmer,B,167,55,junior high,no
72,third,scientest,O,169,49,junior high,no
71,third,singer,O,168,35,doctor,no
95,female,scientest,B,149,92,master,no
18,female,programmer,A,175,64,junior high,no
98,third,neet,AB,169,71,university,no
92,female,student,B,183,86,university,no
3,male,salesman,O,179,93,university,no
63,female,neet,O,166,80,university,no
2,third,teacher,AB,158,53,doctor,no
66,third,student,A,188,92,master,no
85,male,student,O,149,49,master,no
41,male,neet,O,162,68,junior high,no
14,male,student,AB,165,57,junior high,no
17,male,engineer,AB,149,35,master,no
67,female,scientest,AB,141,49,primary,no
5,female,programmer,AB,142,49,doctor,no
75,female,programmer,AB,167,73,master,no
85,male,student,AB,178,50,master,no
96,male,student,AB,177,77,junior high,no
52,third,student,B,170,57,senior high,no
22,female,teacher,B,182,74,primary,no
44,male,salesman,A,145,42,primary,no
85,third,programmer,B,196,88,university,no
23,female,chef,A,178,76,junior high,yes
92,female,salesman,AB,192,41,senior high,no
30,female,salesman,AB,188,64,master,no
82,male,programmer,B,167,70,senior high,no
13,third,neet,A,156,41,primary,no
28,third,programmer,O,142,88,master,yes
