Age,Gender,Weight,Education,Choosed
76,male,86,doctor,no
44,third,71,doctor,no
15,male,86,senior high,no
31,female,88,university,no
55,female,80,primary,no
84,female,37,senior high,no
46,male,70,primary,no
76,male,71,master,no
36,female,61,senior high,yes
98,female,78,senior high,no
76,female,95,master,no
60,third,57,senior high,no
59,third,40,university,no
48,third,98,senior high,yes
45,third,96,senior high,no
59,male,75,university,no
36,third,86,master,no
25,female,54,university,no
47,third,66,doctor,no
40,male,37,senior high,no
93,male,44,primary,no
42,third,94,primary,no
71,male,36,master,no
42,male,36,senior high,no
75,third,35,doctor,no
34,third,60,doctor,yes
92,third,68,doctor,no
30,male,95,senior high,no
11,female,57,primary,no
20,female,60,master,no
42,male,37,primary,no
80,third,41,senior high,no
8,female,55,junior high,no
72,third,49,junior high,no
71,third,35,doctor,no
95,female,92,master,no
18,female,64,junior high,no
98,third,71,university,no
92,female,86,university,no
3,male,93,university,no
63,female,80,university,no
2,third,53,doctor,no
66,third,92,master,no
85,male,49,master,no
41,male,68,junior high,no
14,male,57,junior high,no
17,male,35,master,no
67,female,49,primary,no
5,female,49,doctor,no
75,female,73,master,no
85,male,50,master,no
96,male,77,junior high,no
52,third,57,senior high,no
22,female,74,primary,no
44,male,42,primary,no
85,third,88,university,no
23,female,76,junior high,yes
92,female,41,senior high,no
30,female,64,master,no
82,male,70,senior high,no
13,third,41,primary,no
28,third,88,master,yes
98,female,98,master,no
86,female,81,primary,no
80,female,35,master,no
55,female,35,junior high,no
63,third,93,junior high,no
81,third,94,senior high,no
23,female,55,master,yes
94,male,43,doctor,no
24,male,97,university,yes
42,third,97,senior high,no
22,third,42,senior high,no
2,female,58,university,no
41,third,79,doctor,no
2,male,61,doctor,no
15,female,91,university,no
44,female,81,junior high,no
88,third,65,master,no
78,male,36,master,no
61,male,68,junior high,no
41,male,81,university,yes
99,third,65,junior high,no
3,female,94,master,no
67,male,54,doctor,no
18,female,98,doctor,no
43,third,38,senior high,yes
53,male,93,doctor,no
11,male,81,doctor,no
21,female,85,primary,no
17,third,45,senior high,yes
60,male,79,primary,no
34,male,76,university,yes
2,third,85,junior high,no
20,female,70,primary,no
63,male,76,university,no
93,female,47,university,no
51,third,38,doctor,no
67,female,77,university,no
91,male,73,primary,no
78,third,38,master,no
16,male,88,junior high,no
46,third,77,master,no
37,third,90,junior high,yes
41,male,47,doctor,no
11,female,70,primary,no
72,male,52,junior high,no
62,male,76,primary,no
90,female,84,primary,no
69,third,58,doctor,no
66,third,60,primary,no
91,third,91,master,no
67,third,41,primary,no
11,third,68,master,no
90,third,61,junior high,no
71,male,96,doctor,no
21,male,77,master,no
10,male,60,senior high,no
9,female,54,junior high,no
46,third,99,doctor,no
56,female,66,senior high,no
42,female,91,primary,no
41,female,67,senior high,no
91,female,74,junior high,no
