Age,Gender,Education,Choosed
76,male,doctor,no
44,third,doctor,no
15,male,senior high,no
31,female,university,no
55,female,primary,no
84,female,senior high,no
46,male,primary,no
76,male,master,no
36,female,senior high,yes
98,female,senior high,no
76,female,master,no
60,third,senior high,no
59,third,university,no
48,third,senior high,yes
45,third,senior high,no
59,male,university,no
36,third,master,no
25,female,university,no
47,third,doctor,no
40,male,senior high,no
93,male,primary,no
42,third,primary,no
71,male,master,no
42,male,senior high,no
75,third,doctor,no
34,third,doctor,yes
92,third,doctor,no
30,male,senior high,no
11,female,primary,no
20,female,master,no
42,male,primary,no
80,third,senior high,no
8,female,junior high,no
72,third,junior high,no
71,third,doctor,no
95,female,master,no
18,female,junior high,no
98,third,university,no
92,female,university,no
3,male,university,no
63,female,university,no
2,third,doctor,no
66,third,master,no
85,male,master,no
41,male,junior high,no
14,male,junior high,no
17,male,master,no
67,female,primary,no
5,female,doctor,no
75,female,master,no
85,male,master,no
96,male,junior high,no
52,third,senior high,no
22,female,primary,no
44,male,primary,no
85,third,university,no
23,female,junior high,yes
92,female,senior high,no
30,female,master,no
82,male,senior high,no
13,third,primary,no
28,third,master,yes
98,female,master,no
86,female,primary,no
80,female,master,no
55,female,junior high,no
63,third,junior high,no
81,third,senior high,no
23,female,master,yes
94,male,doctor,no
24,male,university,yes
42,third,senior high,no
22,third,senior high,no
2,female,university,no
41,third,doctor,no
2,male,doctor,no
15,female,university,no
44,female,junior high,no
88,third,master,no
78,male,master,no
61,male,junior high,no
41,male,university,yes
99,third,junior high,no
3,female,master,no
67,male,doctor,no
18,female,doctor,no
43,third,senior high,yes
53,male,doctor,no
11,male,doctor,no
21,female,primary,no
17,third,senior high,yes
60,male,primary,no
34,male,university,yes
2,third,junior high,no
20,female,primary,no
63,male,university,no
93,female,university,no
51,third,doctor,no
67,female,university,no
91,male,primary,no
78,third,master,no
16,male,junior high,no
46,third,master,no
37,third,junior high,yes
41,male,doctor,no
11,female,primary,no
72,male,junior high,no
62,male,primary,no
90,female,primary,no
69,third,doctor,no
66,third,primary,no
91,third,master,no
67,third,primary,no
11,third,master,no
90,third,junior high,no
71,male,doctor,no
21,male,master,no
10,male,senior high,no
9,female,junior high,no
46,third,doctor,no
56,female,senior high,no
42,female,primary,no
41,female,senior high,no
91,female,junior high,no
86,female,senior high,no
21,male,university,yes
42,male,master,yes
2,female,doctor,no
27,female,doctor,yes
28,male,junior high,yes
50,female,senior high,no
16,female,junior high,no
52,third,university,no
24,third,university,no
44,male,master,yes
22,male,primary,no
29,male,junior high,no
49,male,university,no
38,male,doctor,no
11,male,primary,no
55,third,junior high,no
79,female,university,no
27,male,senior high,no
33,male,junior high,no
43,third,doctor,yes
95,male,junior high,no
46,male,junior high,no
84,third,senior high,no
20,third,university,no
17,third,primary,no
42,third,master,yes
37,third,senior high,no
46,male,primary,no
39,male,university,no
21,third,junior high,no
12,female,senior high,no
33,third,master,no
23,female,junior high,no
8,third,university,no
1,female,junior high,no
39,male,university,yes
93,male,primary,no
61,third,university,no
38,male,junior high,no
87,third,senior high,no
73,male,doctor,no
7,female,primary,no
26,female,senior high,no
23,male,primary,yes
9,female,master,no
16,male,doctor,no
32,female,primary,no
97,male,senior high,no
18,male,doctor,no
31,third,primary,yes
55,female,university,no
40,male,university,no
