Age,Gender,Occupations,Blood group,Weight,Education,Revenue,Choosed
76,male,programmer,O,86,doctor,6100,no
44,third,neet,B,71,doctor,4600,no
15,male,neet,O,86,senior high,6200,no
31,female,teacher,AB,88,university,430,no
55,female,neet,A,80,primary,7000,no
84,female,scientest,B,37,senior high,80,no
46,male,singer,AB,70,primary,27,no
76,male,teacher,O,71,master,520,no
36,female,programmer,O,61,senior high,390,yes
98,female,teacher,A,78,senior high,500,no
76,female,student,AB,95,master,920,no
60,third,programmer,B,57,senior high,660,no
59,third,singer,AB,40,university,19,no
48,third,chef,A,98,senior high,23,yes
45,third,neet,B,96,senior high,17,no
59,male,student,AB,75,university,34,no
36,third,student,B,86,master,9500,no
25,female,neet,AB,54,university,450,no
47,third,singer,O,66,doctor,870,no
40,male,scientest,A,37,senior high,560,no
93,male,student,B,44,primary,1700,no
42,third,singer,B,94,primary,51,no
71,male,student,A,36,master,990,no
42,male,salesman,A,36,senior high,7900,no
75,third,singer,B,35,doctor,20,no
34,third,salesman,O,60,doctor,67,yes
92,third,student,AB,68,doctor,75,no
30,male,teacher,AB,95,senior high,35,no
11,female,engineer,B,57,primary,19,no
20,female,student,B,60,master,97,no
42,male,scientest,A,37,primary,40,no
80,third,scientest,O,41,senior high,59,no
8,female,programmer,B,55,junior high,970,no
72,third,scientest,O,49,junior high,46,no
71,third,singer,O,35,doctor,2000,no
95,female,scientest,B,92,master,2100,no
18,female,programmer,A,64,junior high,84,no
98,third,neet,AB,71,university,83,no
92,female,student,B,86,university,3400,no
3,male,salesman,O,93,university,51,no
63,female,neet,O,80,university,34,no
2,third,teacher,AB,53,doctor,99,no
66,third,student,A,92,master,570,no
85,male,student,O,49,master,79,no
41,male,neet,O,68,junior high,6000,no
14,male,student,AB,57,junior high,50,no
17,male,engineer,AB,35,master,1600,no
67,female,scientest,AB,49,primary,74,no
5,female,programmer,AB,49,doctor,21,no
75,female,programmer,AB,73,master,340,no
85,male,student,AB,50,master,1800,no
96,male,student,AB,77,junior high,930,no
52,third,student,B,57,senior high,27,no
22,female,teacher,B,74,primary,1100,no
44,male,salesman,A,42,primary,480,no
85,third,programmer,B,88,university,64,no
23,female,chef,A,76,junior high,650,yes
92,female,salesman,AB,41,senior high,840,no
30,female,salesman,AB,64,master,3,no
82,male,programmer,B,70,senior high,19,no
13,third,neet,A,41,primary,950,no
28,third,programmer,O,88,master,830,yes
98,female,student,AB,98,master,270,no
86,female,teacher,A,81,primary,61,no
80,female,scientest,AB,35,master,180,no
55,female,student,A,35,junior high,2400,no
63,third,teacher,O,93,junior high,5400,no
81,third,singer,B,94,senior high,590,no
