Age,Gender,Occupations,Blood group,Weight,Education,Choosed
76,male,programmer,O,86,doctor,no
44,third,neet,B,71,doctor,no
15,male,neet,O,86,senior high,no
31,female,teacher,AB,88,university,no
55,female,neet,A,80,primary,no
84,female,scientest,B,37,senior high,no
46,male,singer,AB,70,primary,no
76,male,teacher,O,71,master,no
36,female,programmer,O,61,senior high,yes
98,female,teacher,A,78,senior high,no
76,female,student,AB,95,master,no
60,third,programmer,B,57,senior high,no
59,third,singer,AB,40,university,no
48,third,chef,A,98,senior high,yes
45,third,neet,B,96,senior high,no
59,male,student,AB,75,university,no
36,third,student,B,86,master,no
25,female,neet,AB,54,university,no
47,third,singer,O,66,doctor,no
40,male,scientest,A,37,senior high,no
93,male,student,B,44,primary,no
42,third,singer,B,94,primary,no
71,male,student,A,36,master,no
42,male,salesman,A,36,senior high,no
75,third,singer,B,35,doctor,no
34,third,salesman,O,60,doctor,yes
92,third,student,AB,68,doctor,no
30,male,teacher,AB,95,senior high,no
11,female,engineer,B,57,primary,no
20,female,student,B,60,master,no
42,male,scientest,A,37,primary,no
80,third,scientest,O,41,senior high,no
8,female,programmer,B,55,junior high,no
72,third,scientest,O,49,junior high,no
71,third,singer,O,35,doctor,no
95,female,scientest,B,92,master,no
18,female,programmer,A,64,junior high,no
98,third,neet,AB,71,university,no
92,female,student,B,86,university,no
3,male,salesman,O,93,university,no
63,female,neet,O,80,university,no
2,third,teacher,AB,53,doctor,no
66,third,student,A,92,master,no
85,male,student,O,49,master,no
41,male,neet,O,68,junior high,no
14,male,student,AB,57,junior high,no
17,male,engineer,AB,35,master,no
67,female,scientest,AB,49,primary,no
5,female,programmer,AB,49,doctor,no
75,female,programmer,AB,73,master,no
85,male,student,AB,50,master,no
96,male,student,AB,77,junior high,no
52,third,student,B,57,senior high,no
22,female,teacher,B,74,primary,no
44,male,salesman,A,42,primary,no
85,third,programmer,B,88,university,no
23,female,chef,A,76,junior high,yes
92,female,salesman,AB,41,senior high,no
30,female,salesman,AB,64,master,no
82,male,programmer,B,70,senior high,no
13,third,neet,A,41,primary,no
28,third,programmer,O,88,master,yes
98,female,student,AB,98,master,no
86,female,teacher,A,81,primary,no
80,female,scientest,AB,35,master,no
55,female,student,A,35,junior high,no
63,third,teacher,O,93,junior high,no
81,third,singer,B,94,senior high,no
23,female,programmer,AB,55,master,yes
94,male,programmer,B,43,doctor,no
24,male,chef,A,97,university,yes
42,third,scientest,B,97,senior high,no
22,third,scientest,A,42,senior high,no
2,female,student,AB,58,university,no
41,third,teacher,AB,79,doctor,no
2,male,scientest,AB,61,doctor,no
15,female,scientest,AB,91,university,no
44,female,neet,O,81,junior high,no
88,third,programmer,B,65,master,no
78,male,teacher,A,36,master,no
61,male,singer,O,68,junior high,no
41,male,chef,AB,81,university,yes
99,third,teacher,B,65,junior high,no
3,female,singer,AB,94,master,no
67,male,neet,O,54,doctor,no
18,female,teacher,AB,98,doctor,no
43,third,chef,B,38,senior high,yes
53,male,engineer,AB,93,doctor,no
11,male,student,AB,81,doctor,no
21,female,programmer,AB,85,primary,no
17,third,teacher,O,45,senior high,yes
60,male,neet,O,79,primary,no
34,male,chef,A,76,university,yes
2,third,neet,AB,85,junior high,no
20,female,programmer,A,70,primary,no
63,male,neet,O,76,university,no
93,female,singer,A,47,university,no
51,third,chef,A,38,doctor,no
67,female,student,B,77,university,no
91,male,teacher,AB,73,primary,no
78,third,neet,AB,38,master,no
16,male,chef,AB,88,junior high,no
46,third,neet,B,77,master,no
37,third,teacher,O,90,junior high,yes
41,male,teacher,O,47,doctor,no
11,female,teacher,AB,70,primary,no
72,male,engineer,B,52,junior high,no
62,male,engineer,AB,76,primary,no
90,female,student,O,84,primary,no
69,third,teacher,A,58,doctor,no
66,third,programmer,B,60,primary,no
91,third,engineer,O,91,master,no
67,third,engineer,B,41,primary,no
11,third,chef,O,68,master,no
90,third,singer,B,61,junior high,no
71,male,singer,A,96,doctor,no
21,male,scientest,AB,77,master,no
10,male,scientest,B,60,senior high,no
9,female,chef,B,54,junior high,no
46,third,student,A,99,doctor,no
56,female,engineer,A,66,senior high,no
42,female,neet,AB,91,primary,no
41,female,neet,AB,67,senior high,no
91,female,singer,B,74,junior high,no
86,female,singer,B,47,senior high,no
21,male,chef,O,38,university,yes
42,male,engineer,B,62,master,yes
2,female,scientest,AB,68,doctor,no
27,female,scientest,B,69,doctor,yes
28,male,chef,O,70,junior high,yes
50,female,engineer,A,47,senior high,no
16,female,programmer,A,98,junior high,no
52,third,engineer,B,75,university,no
24,third,student,AB,81,university,no
44,male,engineer,B,59,master,yes
22,male,teacher,AB,85,primary,no
29,male,scientest,B,85,junior high,no
49,male,scientest,O,47,university,no
38,male,teacher,B,92,doctor,no
11,male,teacher,B,87,primary,no
55,third,teacher,O,90,junior high,no
79,female,singer,A,41,university,no
27,male,singer,A,67,senior high,no
33,male,scientest,AB,55,junior high,no
43,third,chef,O,36,doctor,yes
95,male,student,B,63,junior high,no
46,male,scientest,AB,79,junior high,no
84,third,student,B,62,senior high,no
20,third,scientest,AB,90,university,no
17,third,teacher,B,88,primary,no
42,third,programmer,A,95,master,yes
37,third,scientest,AB,96,senior high,no
46,male,singer,B,55,primary,no
39,male,salesman,B,84,university,no
21,third,salesman,B,91,junior high,no
12,female,salesman,AB,77,senior high,no
33,third,student,B,77,master,no
23,female,neet,AB,95,junior high,no
8,third,salesman,A,70,university,no
1,female,scientest,A,68,junior high,no
39,male,chef,O,90,university,yes
93,male,programmer,B,63,primary,no
61,third,neet,AB,68,university,no
38,male,scientest,AB,42,junior high,no
87,third,salesman,B,85,senior high,no
73,male,salesman,A,43,doctor,no
7,female,engineer,A,50,primary,no
26,female,programmer,AB,65,senior high,no
23,male,programmer,O,45,primary,yes
9,female,salesman,O,93,master,no
16,male,neet,A,79,doctor,no
32,female,neet,A,59,primary,no
97,male,student,AB,44,senior high,no
18,male,programmer,B,35,doctor,no
31,third,chef,O,77,primary,yes
55,female,teacher,A,91,university,no
40,male,salesman,AB,56,university,no
49,third,singer,A,79,junior high,no
57,male,engineer,AB,35,doctor,no
26,male,student,O,92,doctor,yes
68,male,engineer,B,50,junior high,no
76,third,chef,B,88,primary,no
65,male,scientest,B,55,university,no
87,third,neet,AB,44,primary,no
43,third,salesman,O,47,junior high,no
44,third,teacher,O,87,university,no
41,male,student,O,80,junior high,no
52,male,scientest,AB,40,master,no
92,male,engineer,A,40,doctor,no
11,male,teacher,A,38,university,yes
40,third,salesman,O,39,primary,yes
34,third,engineer,AB,99,university,no
50,female,singer,O,49,master,no
89,third,teacher,AB,79,senior high,no
27,female,student,B,79,senior high,no
58,male,salesman,AB,48,primary,no
51,third,programmer,AB,90,doctor,no
26,third,chef,AB,46,junior high,yes
68,third,neet,O,96,junior high,no
6,male,engineer,B,90,master,no
89,third,programmer,O,71,senior high,no
63,third,engineer,AB,62,doctor,no
33,female,singer,AB,57,university,no
35,female,singer,O,35,doctor,yes
72,male,singer,A,95,master,no
19,male,salesman,B,72,doctor,no
84,third,chef,B,97,master,no
73,female,scientest,B,58,doctor,no
35,female,teacher,O,36,primary,yes
5,female,programmer,AB,91,junior high,no
39,third,programmer,O,67,senior high,yes
14,male,singer,B,35,primary,no
91,female,teacher,AB,96,senior high,no
1,female,scientest,AB,79,primary,no
45,male,engineer,A,91,doctor,yes
44,male,singer,O,78,doctor,no
92,male,scientest,A,76,junior high,no
17,female,programmer,A,75,senior high,no
16,male,salesman,B,82,university,no
94,third,chef,O,40,university,no
96,third,teacher,A,59,master,no
56,female,singer,O,52,master,no
72,third,chef,B,84,junior high,no
11,female,singer,A,76,senior high,no
93,female,programmer,B,48,junior high,no
84,third,engineer,AB,42,primary,no
93,female,singer,O,99,master,no
83,female,teacher,O,46,senior high,no
7,third,programmer,AB,51,university,no
76,male,programmer,B,89,master,no
45,male,neet,B,84,senior high,no
32,female,teacher,AB,95,university,no
14,female,teacher,B,69,doctor,no
33,third,teacher,O,81,university,yes
55,third,neet,AB,57,senior high,no
86,female,chef,B,77,junior high,no
49,female,singer,A,50,doctor,no
8,female,teacher,B,37,university,no
13,male,chef,B,79,junior high,no
73,female,neet,B,42,junior high,no
70,third,chef,O,38,primary,no
95,third,teacher,O,82,primary,no
75,male,singer,A,52,senior high,no
0,third,singer,B,65,doctor,no
83,third,neet,A,50,junior high,no
85,female,chef,O,86,junior high,no
90,third,programmer,B,36,junior high,no
48,third,neet,AB,77,master,no
27,male,scientest,B,90,university,no
67,third,programmer,B,51,doctor,no
99,female,singer,O,76,master,no
32,female,neet,AB,89,master,no
77,male,scientest,O,66,doctor,no
66,third,programmer,B,42,primary,no
29,male,student,A,60,doctor,no
49,male,scientest,AB,60,university,no
11,third,student,AB,63,university,no
50,male,programmer,A,72,master,yes
28,male,programmer,B,84,primary,no
21,female,salesman,AB,35,master,no
71,male,salesman,AB,58,junior high,no
80,female,programmer,AB,50,primary,no
38,female,scientest,A,98,master,yes
73,female,chef,B,92,senior high,no
56,male,salesman,A,67,junior high,no
86,female,chef,O,50,primary,no
7,male,neet,AB,87,primary,no
70,third,neet,AB,99,master,no
59,female,programmer,O,53,university,no
29,female,chef,O,90,university,yes
38,male,singer,B,67,primary,no
64,female,teacher,O,61,doctor,no
64,female,chef,AB,36,primary,no
39,female,programmer,A,77,junior high,no
27,female,teacher,B,84,senior high,no
6,female,programmer,AB,96,senior high,no
49,male,chef,AB,42,university,yes
73,male,chef,O,59,primary,no
69,male,teacher,B,49,university,no
66,third,teacher,B,59,doctor,no
64,male,teacher,AB,38,doctor,no
65,male,chef,AB,99,doctor,no
56,third,singer,O,53,doctor,no
80,female,salesman,A,67,university,no
25,male,neet,O,72,doctor,yes
66,male,teacher,A,70,master,no
54,male,chef,A,47,master,no
55,third,teacher,O,79,university,no
7,male,teacher,B,88,senior high,no
25,female,neet,A,96,university,no
16,male,singer,O,68,doctor,yes
8,female,student,O,87,senior high,no
97,female,student,B,48,senior high,no
93,male,scientest,A,61,master,no
96,third,salesman,O,75,master,no
88,female,neet,AB,42,junior high,no
1,female,student,B,43,primary,no
35,female,singer,B,47,university,no
78,female,singer,AB,52,primary,no
30,female,neet,B,37,university,no
24,third,teacher,B,60,primary,no
59,third,student,B,90,primary,no
61,female,teacher,B,76,doctor,no
83,male,salesman,A,86,junior high,no
62,female,scientest,B,65,senior high,no
74,female,programmer,AB,72,senior high,no
47,female,chef,B,90,junior high,yes
42,third,chef,O,57,senior high,yes
72,female,singer,AB,57,doctor,no
38,female,engineer,O,50,master,yes
53,third,chef,A,99,master,no
64,female,teacher,AB,62,junior high,no
13,male,singer,B,51,primary,no
22,male,chef,B,71,master,yes
8,third,teacher,O,40,doctor,no
51,third,neet,B,40,senior high,no
90,third,student,O,52,junior high,no
60,third,student,A,76,doctor,no
3,female,teacher,B,95,master,no
85,female,chef,B,52,doctor,no
72,female,singer,A,65,junior high,no
67,third,salesman,B,93,master,no
24,male,chef,A,51,master,yes
91,male,engineer,AB,70,senior high,no
95,male,teacher,AB,73,junior high,no
54,male,programmer,O,78,university,no
60,third,student,B,87,senior high,no
15,male,salesman,O,52,senior high,no
15,third,programmer,AB,39,master,no
50,third,neet,AB,57,master,no
7,male,neet,A,48,university,no
61,female,chef,O,96,university,no
19,male,chef,AB,91,junior high,yes
50,third,teacher,B,40,master,no
27,third,student,O,39,doctor,yes
79,third,teacher,AB,58,senior high,no
39,third,salesman,A,83,junior high,no
9,female,salesman,AB,43,doctor,no
94,male,programmer,AB,77,junior high,no
25,male,singer,A,46,junior high,no
24,female,scientest,O,78,master,yes
23,third,singer,O,82,senior high,yes
96,female,singer,O,62,doctor,no
74,male,student,A,87,master,no
58,male,student,B,35,doctor,no
68,male,chef,O,90,master,no
94,third,salesman,A,60,doctor,no
