Age,Gender,Occupations,Blood group,Weight,Choosed
76,male,programmer,O,86,no
44,third,neet,B,71,no
15,male,neet,O,86,no
31,female,teacher,AB,88,no
55,female,neet,A,80,no
84,female,scientest,B,37,no
46,male,singer,AB,70,no
76,male,teacher,O,71,no
36,female,programmer,O,61,yes
98,female,teacher,A,78,no
76,female,student,AB,95,no
60,third,programmer,B,57,no
59,third,singer,AB,40,no
48,third,chef,A,98,yes
45,third,neet,B,96,no
59,male,student,AB,75,no
36,third,student,B,86,no
25,female,neet,AB,54,no
47,third,singer,O,66,no
40,male,scientest,A,37,no
93,male,student,B,44,no
42,third,singer,B,94,no
71,male,student,A,36,no
42,male,salesman,A,36,no
75,third,singer,B,35,no
34,third,salesman,O,60,yes
92,third,student,AB,68,no
30,male,teacher,AB,95,no
11,female,engineer,B,57,no
20,female,student,B,60,no
42,male,scientest,A,37,no
80,third,scientest,O,41,no
8,female,programmer,B,55,no
72,third,scientest,O,49,no
71,third,singer,O,35,no
95,female,scientest,B,92,no
18,female,programmer,A,64,no
98,third,neet,AB,71,no
92,female,student,B,86,no
3,male,salesman,O,93,no
63,female,neet,O,80,no
2,third,teacher,AB,53,no
66,third,student,A,92,no
85,male,student,O,49,no
41,male,neet,O,68,no
14,male,student,AB,57,no
17,male,engineer,AB,35,no
67,female,scientest,AB,49,no
5,female,programmer,AB,49,no
75,female,programmer,AB,73,no
85,male,student,AB,50,no
96,male,student,AB,77,no
52,third,student,B,57,no
22,female,teacher,B,74,no
44,male,salesman,A,42,no
85,third,programmer,B,88,no
23,female,chef,A,76,yes
92,female,salesman,AB,41,no
30,female,salesman,AB,64,no
82,male,programmer,B,70,no
13,third,neet,A,41,no
28,third,programmer,O,88,yes
98,female,student,AB,98,no
86,female,teacher,A,81,no
80,female,scientest,AB,35,no
55,female,student,A,35,no
63,third,teacher,O,93,no
81,third,singer,B,94,no
23,female,programmer,AB,55,yes
94,male,programmer,B,43,no
24,male,chef,A,97,yes
42,third,scientest,B,97,no
22,third,scientest,A,42,no
2,female,student,AB,58,no
41,third,teacher,AB,79,no
2,male,scientest,AB,61,no
15,female,scientest,AB,91,no
44,female,neet,O,81,no
88,third,programmer,B,65,no
78,male,teacher,A,36,no
61,male,singer,O,68,no
41,male,chef,AB,81,yes
99,third,teacher,B,65,no
3,female,singer,AB,94,no
67,male,neet,O,54,no
18,female,teacher,AB,98,no
43,third,chef,B,38,yes
53,male,engineer,AB,93,no
11,male,student,AB,81,no
21,female,programmer,AB,85,no
17,third,teacher,O,45,yes
60,male,neet,O,79,no
34,male,chef,A,76,yes
2,third,neet,AB,85,no
20,female,programmer,A,70,no
63,male,neet,O,76,no
93,female,singer,A,47,no
51,third,chef,A,38,no
67,female,student,B,77,no
91,male,teacher,AB,73,no
78,third,neet,AB,38,no
16,male,chef,AB,88,no
46,third,neet,B,77,no
37,third,teacher,O,90,yes
41,male,teacher,O,47,no
11,female,teacher,AB,70,no
72,male,engineer,B,52,no
62,male,engineer,AB,76,no
90,female,student,O,84,no
69,third,teacher,A,58,no
66,third,programmer,B,60,no
91,third,engineer,O,91,no
67,third,engineer,B,41,no
11,third,chef,O,68,no
90,third,singer,B,61,no
71,male,singer,A,96,no
21,male,scientest,AB,77,no
10,male,scientest,B,60,no
9,female,chef,B,54,no
46,third,student,A,99,no
56,female,engineer,A,66,no
42,female,neet,AB,91,no
41,female,neet,AB,67,no
91,female,singer,B,74,no
86,female,singer,B,47,no
21,male,chef,O,38,yes
42,male,engineer,B,62,yes
2,female,scientest,AB,68,no
27,female,scientest,B,69,yes
28,male,chef,O,70,yes
50,female,engineer,A,47,no
16,female,programmer,A,98,no
52,third,engineer,B,75,no
24,third,student,AB,81,no
44,male,engineer,B,59,yes
22,male,teacher,AB,85,no
29,male,scientest,B,85,no
49,male,scientest,O,47,no
38,male,teacher,B,92,no
11,male,teacher,B,87,no
55,third,teacher,O,90,no
79,female,singer,A,41,no
27,male,singer,A,67,no
33,male,scientest,AB,55,no
43,third,chef,O,36,yes
95,male,student,B,63,no
46,male,scientest,AB,79,no
84,third,student,B,62,no
20,third,scientest,AB,90,no
17,third,teacher,B,88,no
42,third,programmer,A,95,yes
37,third,scientest,AB,96,no
46,male,singer,B,55,no
39,male,salesman,B,84,no
21,third,salesman,B,91,no
12,female,salesman,AB,77,no
33,third,student,B,77,no
23,female,neet,AB,95,no
8,third,salesman,A,70,no
1,female,scientest,A,68,no
39,male,chef,O,90,yes
93,male,programmer,B,63,no
61,third,neet,AB,68,no
38,male,scientest,AB,42,no
87,third,salesman,B,85,no
73,male,salesman,A,43,no
7,female,engineer,A,50,no
26,female,programmer,AB,65,no
23,male,programmer,O,45,yes
9,female,salesman,O,93,no
16,male,neet,A,79,no
32,female,neet,A,59,no
97,male,student,AB,44,no
18,male,programmer,B,35,no
31,third,chef,O,77,yes
55,female,teacher,A,91,no
40,male,salesman,AB,56,no
49,third,singer,A,79,no
57,male,engineer,AB,35,no
26,male,student,O,92,yes
68,male,engineer,B,50,no
76,third,chef,B,88,no
65,male,scientest,B,55,no
87,third,neet,AB,44,no
43,third,salesman,O,47,no
44,third,teacher,O,87,no
41,male,student,O,80,no
52,male,scientest,AB,40,no
92,male,engineer,A,40,no
11,male,teacher,A,38,yes
40,third,salesman,O,39,yes
34,third,engineer,AB,99,no
50,female,singer,O,49,no
89,third,teacher,AB,79,no
27,female,student,B,79,no
58,male,salesman,AB,48,no
51,third,programmer,AB,90,no
26,third,chef,AB,46,yes
68,third,neet,O,96,no
6,male,engineer,B,90,no
89,third,programmer,O,71,no
63,third,engineer,AB,62,no
33,female,singer,AB,57,no
35,female,singer,O,35,yes
72,male,singer,A,95,no
19,male,salesman,B,72,no
84,third,chef,B,97,no
73,female,scientest,B,58,no
35,female,teacher,O,36,yes
5,female,programmer,AB,91,no
39,third,programmer,O,67,yes
14,male,singer,B,35,no
91,female,teacher,AB,96,no
1,female,scientest,AB,79,no
45,male,engineer,A,91,yes
44,male,singer,O,78,no
92,male,scientest,A,76,no
17,female,programmer,A,75,no
16,male,salesman,B,82,no
94,third,chef,O,40,no
96,third,teacher,A,59,no
56,female,singer,O,52,no
72,third,chef,B,84,no
11,female,singer,A,76,no
