Age,Gender,Occupations,Blood group,Education,Choosed
76,male,programmer,O,doctor,no
44,third,neet,B,doctor,no
15,male,neet,O,senior high,no
31,female,teacher,AB,university,no
55,female,neet,A,primary,no
84,female,scientest,B,senior high,no
46,male,singer,AB,primary,no
76,male,teacher,O,master,no
36,female,programmer,O,senior high,yes
98,female,teacher,A,senior high,no
76,female,student,AB,master,no
60,third,programmer,B,senior high,no
59,third,singer,AB,university,no
48,third,chef,A,senior high,yes
45,third,neet,B,senior high,no
59,male,student,AB,university,no
36,third,student,B,master,no
25,female,neet,AB,university,no
47,third,singer,O,doctor,no
40,male,scientest,A,senior high,no
93,male,student,B,primary,no
42,third,singer,B,primary,no
71,male,student,A,master,no
42,male,salesman,A,senior high,no
75,third,singer,B,doctor,no
34,third,salesman,O,doctor,yes
92,third,student,AB,doctor,no
30,male,teacher,AB,senior high,no
11,female,engineer,B,primary,no
20,female,student,B,master,no
42,male,scientest,A,primary,no
80,third,scientest,O,senior high,no
8,female,programmer,B,junior high,no
72,third,scientest,O,junior high,no
71,third,singer,O,doctor,no
95,female,scientest,B,master,no
18,female,programmer,A,junior high,no
98,third,neet,AB,university,no
92,female,student,B,university,no
3,male,salesman,O,university,no
63,female,neet,O,university,no
2,third,teacher,AB,doctor,no
66,third,student,A,master,no
85,male,student,O,master,no
41,male,neet,O,junior high,no
14,male,student,AB,junior high,no
17,male,engineer,AB,master,no
67,female,scientest,AB,primary,no
5,female,programmer,AB,doctor,no
75,female,programmer,AB,master,no
85,male,student,AB,master,no
96,male,student,AB,junior high,no
52,third,student,B,senior high,no
22,female,teacher,B,primary,no
44,male,salesman,A,primary,no
85,third,programmer,B,university,no
23,female,chef,A,junior high,yes
92,female,salesman,AB,senior high,no
30,female,salesman,AB,master,no
82,male,programmer,B,senior high,no
13,third,neet,A,primary,no
28,third,programmer,O,master,yes
98,female,student,AB,master,no
86,female,teacher,A,primary,no
80,female,scientest,AB,master,no
55,female,student,A,junior high,no
63,third,teacher,O,junior high,no
81,third,singer,B,senior high,no
23,female,programmer,AB,master,yes
94,male,programmer,B,doctor,no
24,male,chef,A,university,yes
42,third,scientest,B,senior high,no
22,third,scientest,A,senior high,no
2,female,student,AB,university,no
41,third,teacher,AB,doctor,no
2,male,scientest,AB,doctor,no
15,female,scientest,AB,university,no
44,female,neet,O,junior high,no
88,third,programmer,B,master,no
78,male,teacher,A,master,no
61,male,singer,O,junior high,no
41,male,chef,AB,university,yes
99,third,teacher,B,junior high,no
3,female,singer,AB,master,no
67,male,neet,O,doctor,no
18,female,teacher,AB,doctor,no
43,third,chef,B,senior high,yes
53,male,engineer,AB,doctor,no
11,male,student,AB,doctor,no
21,female,programmer,AB,primary,no
17,third,teacher,O,senior high,yes
60,male,neet,O,primary,no
34,male,chef,A,university,yes
2,third,neet,AB,junior high,no
20,female,programmer,A,primary,no
63,male,neet,O,university,no
93,female,singer,A,university,no
51,third,chef,A,doctor,no
67,female,student,B,university,no
91,male,teacher,AB,primary,no
78,third,neet,AB,master,no
16,male,chef,AB,junior high,no
46,third,neet,B,master,no
37,third,teacher,O,junior high,yes
41,male,teacher,O,doctor,no
11,female,teacher,AB,primary,no
72,male,engineer,B,junior high,no
62,male,engineer,AB,primary,no
90,female,student,O,primary,no
69,third,teacher,A,doctor,no
66,third,programmer,B,primary,no
91,third,engineer,O,master,no
67,third,engineer,B,primary,no
11,third,chef,O,master,no
90,third,singer,B,junior high,no
71,male,singer,A,doctor,no
21,male,scientest,AB,master,no
10,male,scientest,B,senior high,no
9,female,chef,B,junior high,no
46,third,student,A,doctor,no
56,female,engineer,A,senior high,no
42,female,neet,AB,primary,no
41,female,neet,AB,senior high,no
91,female,singer,B,junior high,no
86,female,singer,B,senior high,no
21,male,chef,O,university,yes
42,male,engineer,B,master,yes
2,female,scientest,AB,doctor,no
27,female,scientest,B,doctor,yes
28,male,chef,O,junior high,yes
50,female,engineer,A,senior high,no
16,female,programmer,A,junior high,no
52,third,engineer,B,university,no
24,third,student,AB,university,no
44,male,engineer,B,master,yes
22,male,teacher,AB,primary,no
29,male,scientest,B,junior high,no
49,male,scientest,O,university,no
38,male,teacher,B,doctor,no
11,male,teacher,B,primary,no
55,third,teacher,O,junior high,no
79,female,singer,A,university,no
27,male,singer,A,senior high,no
33,male,scientest,AB,junior high,no
43,third,chef,O,doctor,yes
95,male,student,B,junior high,no
46,male,scientest,AB,junior high,no
84,third,student,B,senior high,no
20,third,scientest,AB,university,no
17,third,teacher,B,primary,no
42,third,programmer,A,master,yes
37,third,scientest,AB,senior high,no
46,male,singer,B,primary,no
39,male,salesman,B,university,no
21,third,salesman,B,junior high,no
12,female,salesman,AB,senior high,no
33,third,student,B,master,no
23,female,neet,AB,junior high,no
8,third,salesman,A,university,no
1,female,scientest,A,junior high,no
39,male,chef,O,university,yes
93,male,programmer,B,primary,no
61,third,neet,AB,university,no
38,male,scientest,AB,junior high,no
87,third,salesman,B,senior high,no
73,male,salesman,A,doctor,no
7,female,engineer,A,primary,no
26,female,programmer,AB,senior high,no
23,male,programmer,O,primary,yes
9,female,salesman,O,master,no
16,male,neet,A,doctor,no
32,female,neet,A,primary,no
97,male,student,AB,senior high,no
18,male,programmer,B,doctor,no
31,third,chef,O,primary,yes
55,female,teacher,A,university,no
40,male,salesman,AB,university,no
49,third,singer,A,junior high,no
57,male,engineer,AB,doctor,no
26,male,student,O,doctor,yes
68,male,engineer,B,junior high,no
76,third,chef,B,primary,no
65,male,scientest,B,university,no
87,third,neet,AB,primary,no
43,third,salesman,O,junior high,no
44,third,teacher,O,university,no
41,male,student,O,junior high,no
52,male,scientest,AB,master,no
92,male,engineer,A,doctor,no
11,male,teacher,A,university,yes
40,third,salesman,O,primary,yes
34,third,engineer,AB,university,no
50,female,singer,O,master,no
89,third,teacher,AB,senior high,no
27,female,student,B,senior high,no
58,male,salesman,AB,primary,no
51,third,programmer,AB,doctor,no
26,third,chef,AB,junior high,yes
68,third,neet,O,junior high,no
6,male,engineer,B,master,no
89,third,programmer,O,senior high,no
63,third,engineer,AB,doctor,no
33,female,singer,AB,university,no
35,female,singer,O,doctor,yes
72,male,singer,A,master,no
19,male,salesman,B,doctor,no
84,third,chef,B,master,no
73,female,scientest,B,doctor,no
35,female,teacher,O,primary,yes
5,female,programmer,AB,junior high,no
39,third,programmer,O,senior high,yes
14,male,singer,B,primary,no
91,female,teacher,AB,senior high,no
1,female,scientest,AB,primary,no
45,male,engineer,A,doctor,yes
44,male,singer,O,doctor,no
92,male,scientest,A,junior high,no
17,female,programmer,A,senior high,no
16,male,salesman,B,university,no
94,third,chef,O,university,no
96,third,teacher,A,master,no
56,female,singer,O,master,no
72,third,chef,B,junior high,no
11,female,singer,A,senior high,no
93,female,programmer,B,junior high,no
84,third,engineer,AB,primary,no
93,female,singer,O,master,no
83,female,teacher,O,senior high,no
7,third,programmer,AB,university,no
76,male,programmer,B,master,no
45,male,neet,B,senior high,no
32,female,teacher,AB,university,no
14,female,teacher,B,doctor,no
33,third,teacher,O,university,yes
55,third,neet,AB,senior high,no
86,female,chef,B,junior high,no
49,female,singer,A,doctor,no
8,female,teacher,B,university,no
13,male,chef,B,junior high,no
73,female,neet,B,junior high,no
70,third,chef,O,primary,no
95,third,teacher,O,primary,no
75,male,singer,A,senior high,no
0,third,singer,B,doctor,no
83,third,neet,A,junior high,no
85,female,chef,O,junior high,no
