Age,Gender,Occupations,Weight,Education,Choosed
76,male,programmer,86,doctor,no
44,third,neet,71,doctor,no
15,male,neet,86,senior high,no
31,female,teacher,88,university,no
55,female,neet,80,primary,no
84,female,scientest,37,senior high,no
46,male,singer,70,primary,no
76,male,teacher,71,master,no
36,female,programmer,61,senior high,yes
98,female,teacher,78,senior high,no
76,female,student,95,master,no
60,third,programmer,57,senior high,no
59,third,singer,40,university,no
48,third,chef,98,senior high,yes
45,third,neet,96,senior high,no
59,male,student,75,university,no
36,third,student,86,master,no
25,female,neet,54,university,no
47,third,singer,66,doctor,no
40,male,scientest,37,senior high,no
93,male,student,44,primary,no
42,third,singer,94,primary,no
71,male,student,36,master,no
42,male,salesman,36,senior high,no
75,third,singer,35,doctor,no
34,third,salesman,60,doctor,yes
92,third,student,68,doctor,no
30,male,teacher,95,senior high,no
11,female,engineer,57,primary,no
20,female,student,60,master,no
42,male,scientest,37,primary,no
80,third,scientest,41,senior high,no
8,female,programmer,55,junior high,no
72,third,scientest,49,junior high,no
71,third,singer,35,doctor,no
95,female,scientest,92,master,no
18,female,programmer,64,junior high,no
98,third,neet,71,university,no
92,female,student,86,university,no
3,male,salesman,93,university,no
63,female,neet,80,university,no
2,third,teacher,53,doctor,no
66,third,student,92,master,no
85,male,student,49,master,no
41,male,neet,68,junior high,no
14,male,student,57,junior high,no
17,male,engineer,35,master,no
67,female,scientest,49,primary,no
5,female,programmer,49,doctor,no
75,female,programmer,73,master,no
85,male,student,50,master,no
96,male,student,77,junior high,no
52,third,student,57,senior high,no
22,female,teacher,74,primary,no
44,male,salesman,42,primary,no
85,third,programmer,88,university,no
23,female,chef,76,junior high,yes
92,female,salesman,41,senior high,no
30,female,salesman,64,master,no
82,male,programmer,70,senior high,no
13,third,neet,41,primary,no
28,third,programmer,88,master,yes
98,female,student,98,master,no
86,female,teacher,81,primary,no
80,female,scientest,35,master,no
55,female,student,35,junior high,no
63,third,teacher,93,junior high,no
81,third,singer,94,senior high,no
23,female,programmer,55,master,yes
94,male,programmer,43,doctor,no
24,male,chef,97,university,yes
42,third,scientest,97,senior high,no
22,third,scientest,42,senior high,no
2,female,student,58,university,no
41,third,teacher,79,doctor,no
2,male,scientest,61,doctor,no
15,female,scientest,91,university,no
44,female,neet,81,junior high,no
88,third,programmer,65,master,no
78,male,teacher,36,master,no
61,male,singer,68,junior high,no
41,male,chef,81,university,yes
99,third,teacher,65,junior high,no
3,female,singer,94,master,no
67,male,neet,54,doctor,no
18,female,teacher,98,doctor,no
43,third,chef,38,senior high,yes
53,male,engineer,93,doctor,no
11,male,student,81,doctor,no
21,female,programmer,85,primary,no
17,third,teacher,45,senior high,yes
60,male,neet,79,primary,no
34,male,chef,76,university,yes
2,third,neet,85,junior high,no
20,female,programmer,70,primary,no
63,male,neet,76,university,no
93,female,singer,47,university,no
51,third,chef,38,doctor,no
67,female,student,77,university,no
91,male,teacher,73,primary,no
78,third,neet,38,master,no
16,male,chef,88,junior high,no
46,third,neet,77,master,no
37,third,teacher,90,junior high,yes
41,male,teacher,47,doctor,no
11,female,teacher,70,primary,no
72,male,engineer,52,junior high,no
62,male,engineer,76,primary,no
90,female,student,84,primary,no
69,third,teacher,58,doctor,no
66,third,programmer,60,primary,no
91,third,engineer,91,master,no
67,third,engineer,41,primary,no
11,third,chef,68,master,no
90,third,singer,61,junior high,no
71,male,singer,96,doctor,no
21,male,scientest,77,master,no
10,male,scientest,60,senior high,no
9,female,chef,54,junior high,no
46,third,student,99,doctor,no
56,female,engineer,66,senior high,no
42,female,neet,91,primary,no
41,female,neet,67,senior high,no
91,female,singer,74,junior high,no
86,female,singer,47,senior high,no
21,male,chef,38,university,yes
42,male,engineer,62,master,yes
2,female,scientest,68,doctor,no
27,female,scientest,69,doctor,yes
28,male,chef,70,junior high,yes
50,female,engineer,47,senior high,no
16,female,programmer,98,junior high,no
52,third,engineer,75,university,no
24,third,student,81,university,no
44,male,engineer,59,master,yes
22,male,teacher,85,primary,no
29,male,scientest,85,junior high,no
49,male,scientest,47,university,no
38,male,teacher,92,doctor,no
11,male,teacher,87,primary,no
55,third,teacher,90,junior high,no
79,female,singer,41,university,no
27,male,singer,67,senior high,no
33,male,scientest,55,junior high,no
43,third,chef,36,doctor,yes
95,male,student,63,junior high,no
46,male,scientest,79,junior high,no
84,third,student,62,senior high,no
20,third,scientest,90,university,no
17,third,teacher,88,primary,no
42,third,programmer,95,master,yes
37,third,scientest,96,senior high,no
46,male,singer,55,primary,no
39,male,salesman,84,university,no
21,third,salesman,91,junior high,no
12,female,salesman,77,senior high,no
33,third,student,77,master,no
23,female,neet,95,junior high,no
8,third,salesman,70,university,no
1,female,scientest,68,junior high,no
39,male,chef,90,university,yes
93,male,programmer,63,primary,no
61,third,neet,68,university,no
38,male,scientest,42,junior high,no
87,third,salesman,85,senior high,no
73,male,salesman,43,doctor,no
7,female,engineer,50,primary,no
26,female,programmer,65,senior high,no
23,male,programmer,45,primary,yes
9,female,salesman,93,master,no
16,male,neet,79,doctor,no
32,female,neet,59,primary,no
97,male,student,44,senior high,no
18,male,programmer,35,doctor,no
31,third,chef,77,primary,yes
55,female,teacher,91,university,no
40,male,salesman,56,university,no
49,third,singer,79,junior high,no
57,male,engineer,35,doctor,no
26,male,student,92,doctor,yes
68,male,engineer,50,junior high,no
76,third,chef,88,primary,no
65,male,scientest,55,university,no
87,third,neet,44,primary,no
43,third,salesman,47,junior high,no
44,third,teacher,87,university,no
41,male,student,80,junior high,no
52,male,scientest,40,master,no
92,male,engineer,40,doctor,no
11,male,teacher,38,university,yes
40,third,salesman,39,primary,yes
34,third,engineer,99,university,no
50,female,singer,49,master,no
89,third,teacher,79,senior high,no
27,female,student,79,senior high,no
58,male,salesman,48,primary,no
51,third,programmer,90,doctor,no
26,third,chef,46,junior high,yes
68,third,neet,96,junior high,no
6,male,engineer,90,master,no
89,third,programmer,71,senior high,no
63,third,engineer,62,doctor,no
33,female,singer,57,university,no
35,female,singer,35,doctor,yes
72,male,singer,95,master,no
19,male,salesman,72,doctor,no
84,third,chef,97,master,no
73,female,scientest,58,doctor,no
35,female,teacher,36,primary,yes
5,female,programmer,91,junior high,no
39,third,programmer,67,senior high,yes
14,male,singer,35,primary,no
91,female,teacher,96,senior high,no
1,female,scientest,79,primary,no
45,male,engineer,91,doctor,yes
44,male,singer,78,doctor,no
92,male,scientest,76,junior high,no
17,female,programmer,75,senior high,no
16,male,salesman,82,university,no
94,third,chef,40,university,no
96,third,teacher,59,master,no
56,female,singer,52,master,no
72,third,chef,84,junior high,no
11,female,singer,76,senior high,no
93,female,programmer,48,junior high,no
84,third,engineer,42,primary,no
93,female,singer,99,master,no
83,female,teacher,46,senior high,no
7,third,programmer,51,university,no
76,male,programmer,89,master,no
45,male,neet,84,senior high,no
32,female,teacher,95,university,no
14,female,teacher,69,doctor,no
33,third,teacher,81,university,yes
55,third,neet,57,senior high,no
86,female,chef,77,junior high,no
49,female,singer,50,doctor,no
8,female,teacher,37,university,no
13,male,chef,79,junior high,no
73,female,neet,42,junior high,no
70,third,chef,38,primary,no
95,third,teacher,82,primary,no
75,male,singer,52,senior high,no
0,third,singer,65,doctor,no
83,third,neet,50,junior high,no
85,female,chef,86,junior high,no
90,third,programmer,36,junior high,no
48,third,neet,77,master,no
27,male,scientest,90,university,no
67,third,programmer,51,doctor,no
99,female,singer,76,master,no
32,female,neet,89,master,no
77,male,scientest,66,doctor,no
66,third,programmer,42,primary,no
29,male,student,60,doctor,no
49,male,scientest,60,university,no
11,third,student,63,university,no
50,male,programmer,72,master,yes
28,male,programmer,84,primary,no
21,female,salesman,35,master,no
71,male,salesman,58,junior high,no
80,female,programmer,50,primary,no
38,female,scientest,98,master,yes
73,female,chef,92,senior high,no
56,male,salesman,67,junior high,no
86,female,chef,50,primary,no
7,male,neet,87,primary,no
70,third,neet,99,master,no
59,female,programmer,53,university,no
29,female,chef,90,university,yes
38,male,singer,67,primary,no
64,female,teacher,61,doctor,no
64,female,chef,36,primary,no
39,female,programmer,77,junior high,no
27,female,teacher,84,senior high,no
6,female,programmer,96,senior high,no
49,male,chef,42,university,yes
73,male,chef,59,primary,no
69,male,teacher,49,university,no
66,third,teacher,59,doctor,no
64,male,teacher,38,doctor,no
65,male,chef,99,doctor,no
56,third,singer,53,doctor,no
80,female,salesman,67,university,no
25,male,neet,72,doctor,yes
66,male,teacher,70,master,no
54,male,chef,47,master,no
55,third,teacher,79,university,no
7,male,teacher,88,senior high,no
25,female,neet,96,university,no
16,male,singer,68,doctor,yes
8,female,student,87,senior high,no
97,female,student,48,senior high,no
93,male,scientest,61,master,no
96,third,salesman,75,master,no
88,female,neet,42,junior high,no
1,female,student,43,primary,no
35,female,singer,47,university,no
78,female,singer,52,primary,no
30,female,neet,37,university,no
24,third,teacher,60,primary,no
59,third,student,90,primary,no
61,female,teacher,76,doctor,no
83,male,salesman,86,junior high,no
62,female,scientest,65,senior high,no
74,female,programmer,72,senior high,no
47,female,chef,90,junior high,yes
42,third,chef,57,senior high,yes
72,female,singer,57,doctor,no
38,female,engineer,50,master,yes
53,third,chef,99,master,no
64,female,teacher,62,junior high,no
13,male,singer,51,primary,no
22,male,chef,71,master,yes
8,third,teacher,40,doctor,no
51,third,neet,40,senior high,no
90,third,student,52,junior high,no
60,third,student,76,doctor,no
3,female,teacher,95,master,no
85,female,chef,52,doctor,no
72,female,singer,65,junior high,no
67,third,salesman,93,master,no
24,male,chef,51,master,yes
91,male,engineer,70,senior high,no
95,male,teacher,73,junior high,no
54,male,programmer,78,university,no
60,third,student,87,senior high,no
15,male,salesman,52,senior high,no
15,third,programmer,39,master,no
50,third,neet,57,master,no
7,male,neet,48,university,no
61,female,chef,96,university,no
19,male,chef,91,junior high,yes
50,third,teacher,40,master,no
27,third,student,39,doctor,yes
79,third,teacher,58,senior high,no
39,third,salesman,83,junior high,no
9,female,salesman,43,doctor,no
94,male,programmer,77,junior high,no
25,male,singer,46,junior high,no
24,female,scientest,78,master,yes
23,third,singer,82,senior high,yes
96,female,singer,62,doctor,no
74,male,student,87,master,no
58,male,student,35,doctor,no
68,male,chef,90,master,no
94,third,salesman,60,doctor,no
41,third,student,37,junior high,no
13,female,scientest,52,doctor,no
27,female,scientest,40,junior high,no
69,male,teacher,43,master,no
97,male,teacher,38,primary,no
59,female,singer,66,master,no
57,male,chef,35,university,no
86,male,teacher,36,master,no
41,male,salesman,56,university,no
