Age,Gender,Blood group,Weight,Education,Choosed
76,male,O,86,doctor,no
44,third,B,71,doctor,no
15,male,O,86,senior high,no
31,female,AB,88,university,no
55,female,A,80,primary,no
84,female,B,37,senior high,no
46,male,AB,70,primary,no
76,male,O,71,master,no
36,female,O,61,senior high,yes
98,female,A,78,senior high,no
76,female,AB,95,master,no
60,third,B,57,senior high,no
59,third,AB,40,university,no
48,third,A,98,senior high,yes
45,third,B,96,senior high,no
59,male,AB,75,university,no
36,third,B,86,master,no
25,female,AB,54,university,no
47,third,O,66,doctor,no
40,male,A,37,senior high,no
93,male,B,44,primary,no
42,third,B,94,primary,no
71,male,A,36,master,no
42,male,A,36,senior high,no
75,third,B,35,doctor,no
34,third,O,60,doctor,yes
92,third,AB,68,doctor,no
30,male,AB,95,senior high,no
11,female,B,57,primary,no
20,female,B,60,master,no
42,male,A,37,primary,no
80,third,O,41,senior high,no
8,female,B,55,junior high,no
72,third,O,49,junior high,no
71,third,O,35,doctor,no
95,female,B,92,master,no
18,female,A,64,junior high,no
98,third,AB,71,university,no
92,female,B,86,university,no
3,male,O,93,university,no
63,female,O,80,university,no
2,third,AB,53,doctor,no
66,third,A,92,master,no
85,male,O,49,master,no
41,male,O,68,junior high,no
14,male,AB,57,junior high,no
17,male,AB,35,master,no
67,female,AB,49,primary,no
5,female,AB,49,doctor,no
75,female,AB,73,master,no
85,male,AB,50,master,no
96,male,AB,77,junior high,no
52,third,B,57,senior high,no
22,female,B,74,primary,no
44,male,A,42,primary,no
85,third,B,88,university,no
23,female,A,76,junior high,yes
92,female,AB,41,senior high,no
30,female,AB,64,master,no
82,male,B,70,senior high,no
13,third,A,41,primary,no
28,third,O,88,master,yes
98,female,AB,98,master,no
86,female,A,81,primary,no
80,female,AB,35,master,no
55,female,A,35,junior high,no
63,third,O,93,junior high,no
81,third,B,94,senior high,no
23,female,AB,55,master,yes
94,male,B,43,doctor,no
24,male,A,97,university,yes
42,third,B,97,senior high,no
22,third,A,42,senior high,no
2,female,AB,58,university,no
41,third,AB,79,doctor,no
2,male,AB,61,doctor,no
15,female,AB,91,university,no
44,female,O,81,junior high,no
88,third,B,65,master,no
78,male,A,36,master,no
61,male,O,68,junior high,no
41,male,AB,81,university,yes
99,third,B,65,junior high,no
3,female,AB,94,master,no
67,male,O,54,doctor,no
18,female,AB,98,doctor,no
43,third,B,38,senior high,yes
53,male,AB,93,doctor,no
11,male,AB,81,doctor,no
21,female,AB,85,primary,no
17,third,O,45,senior high,yes
60,male,O,79,primary,no
34,male,A,76,university,yes
2,third,AB,85,junior high,no
20,female,A,70,primary,no
63,male,O,76,university,no
93,female,A,47,university,no
51,third,A,38,doctor,no
67,female,B,77,university,no
91,male,AB,73,primary,no
78,third,AB,38,master,no
16,male,AB,88,junior high,no
46,third,B,77,master,no
37,third,O,90,junior high,yes
41,male,O,47,doctor,no
11,female,AB,70,primary,no
72,male,B,52,junior high,no
62,male,AB,76,primary,no
90,female,O,84,primary,no
69,third,A,58,doctor,no
66,third,B,60,primary,no
91,third,O,91,master,no
67,third,B,41,primary,no
11,third,O,68,master,no
90,third,B,61,junior high,no
71,male,A,96,doctor,no
21,male,AB,77,master,no
10,male,B,60,senior high,no
9,female,B,54,junior high,no
46,third,A,99,doctor,no
56,female,A,66,senior high,no
42,female,AB,91,primary,no
41,female,AB,67,senior high,no
91,female,B,74,junior high,no
86,female,B,47,senior high,no
21,male,O,38,university,yes
42,male,B,62,master,yes
2,female,AB,68,doctor,no
27,female,B,69,doctor,yes
28,male,O,70,junior high,yes
50,female,A,47,senior high,no
16,female,A,98,junior high,no
52,third,B,75,university,no
24,third,AB,81,university,no
44,male,B,59,master,yes
22,male,AB,85,primary,no
29,male,B,85,junior high,no
49,male,O,47,university,no
38,male,B,92,doctor,no
11,male,B,87,primary,no
55,third,O,90,junior high,no
79,female,A,41,university,no
27,male,A,67,senior high,no
33,male,AB,55,junior high,no
43,third,O,36,doctor,yes
95,male,B,63,junior high,no
46,male,AB,79,junior high,no
84,third,B,62,senior high,no
20,third,AB,90,university,no
17,third,B,88,primary,no
42,third,A,95,master,yes
37,third,AB,96,senior high,no
46,male,B,55,primary,no
39,male,B,84,university,no
21,third,B,91,junior high,no
12,female,AB,77,senior high,no
33,third,B,77,master,no
23,female,AB,95,junior high,no
8,third,A,70,university,no
1,female,A,68,junior high,no
39,male,O,90,university,yes
93,male,B,63,primary,no
61,third,AB,68,university,no
38,male,AB,42,junior high,no
87,third,B,85,senior high,no
73,male,A,43,doctor,no
7,female,A,50,primary,no
26,female,AB,65,senior high,no
23,male,O,45,primary,yes
9,female,O,93,master,no
16,male,A,79,doctor,no
32,female,A,59,primary,no
97,male,AB,44,senior high,no
18,male,B,35,doctor,no
31,third,O,77,primary,yes
55,female,A,91,university,no
40,male,AB,56,university,no
49,third,A,79,junior high,no
57,male,AB,35,doctor,no
26,male,O,92,doctor,yes
68,male,B,50,junior high,no
76,third,B,88,primary,no
