Age,Occupations,Blood group,Weight,Education,Choosed
76,programmer,O,86,doctor,no
44,neet,B,71,doctor,no
15,neet,O,86,senior high,no
31,teacher,AB,88,university,no
55,neet,A,80,primary,no
84,scientest,B,37,senior high,no
46,singer,AB,70,primary,no
76,teacher,O,71,master,no
36,programmer,O,61,senior high,yes
98,teacher,A,78,senior high,no
76,student,AB,95,master,no
60,programmer,B,57,senior high,no
59,singer,AB,40,university,no
48,chef,A,98,senior high,yes
45,neet,B,96,senior high,no
59,student,AB,75,university,no
36,student,B,86,master,no
25,neet,AB,54,university,no
47,singer,O,66,doctor,no
40,scientest,A,37,senior high,no
93,student,B,44,primary,no
42,singer,B,94,primary,no
71,student,A,36,master,no
42,salesman,A,36,senior high,no
75,singer,B,35,doctor,no
34,salesman,O,60,doctor,yes
92,student,AB,68,doctor,no
30,teacher,AB,95,senior high,no
11,engineer,B,57,primary,no
20,student,B,60,master,no
42,scientest,A,37,primary,no
80,scientest,O,41,senior high,no
8,programmer,B,55,junior high,no
72,scientest,O,49,junior high,no
71,singer,O,35,doctor,no
95,scientest,B,92,master,no
18,programmer,A,64,junior high,no
98,neet,AB,71,university,no
92,student,B,86,university,no
3,salesman,O,93,university,no
63,neet,O,80,university,no
2,teacher,AB,53,doctor,no
66,student,A,92,master,no
85,student,O,49,master,no
41,neet,O,68,junior high,no
14,student,AB,57,junior high,no
17,engineer,AB,35,master,no
67,scientest,AB,49,primary,no
5,programmer,AB,49,doctor,no
75,programmer,AB,73,master,no
85,student,AB,50,master,no
96,student,AB,77,junior high,no
52,student,B,57,senior high,no
22,teacher,B,74,primary,no
44,salesman,A,42,primary,no
85,programmer,B,88,university,no
23,chef,A,76,junior high,yes
92,salesman,AB,41,senior high,no
30,salesman,AB,64,master,no
82,programmer,B,70,senior high,no
13,neet,A,41,primary,no
28,programmer,O,88,master,yes
98,student,AB,98,master,no
86,teacher,A,81,primary,no
80,scientest,AB,35,master,no
55,student,A,35,junior high,no
63,teacher,O,93,junior high,no
81,singer,B,94,senior high,no
23,programmer,AB,55,master,yes
94,programmer,B,43,doctor,no
24,chef,A,97,university,yes
42,scientest,B,97,senior high,no
22,scientest,A,42,senior high,no
2,student,AB,58,university,no
41,teacher,AB,79,doctor,no
2,scientest,AB,61,doctor,no
15,scientest,AB,91,university,no
44,neet,O,81,junior high,no
88,programmer,B,65,master,no
78,teacher,A,36,master,no
61,singer,O,68,junior high,no
41,chef,AB,81,university,yes
99,teacher,B,65,junior high,no
3,singer,AB,94,master,no
67,neet,O,54,doctor,no
18,teacher,AB,98,doctor,no
43,chef,B,38,senior high,yes
53,engineer,AB,93,doctor,no
11,student,AB,81,doctor,no
21,programmer,AB,85,primary,no
17,teacher,O,45,senior high,yes
60,neet,O,79,primary,no
34,chef,A,76,university,yes
2,neet,AB,85,junior high,no
20,programmer,A,70,primary,no
63,neet,O,76,university,no
93,singer,A,47,university,no
51,chef,A,38,doctor,no
67,student,B,77,university,no
91,teacher,AB,73,primary,no
78,neet,AB,38,master,no
16,chef,AB,88,junior high,no
46,neet,B,77,master,no
37,teacher,O,90,junior high,yes
41,teacher,O,47,doctor,no
11,teacher,AB,70,primary,no
72,engineer,B,52,junior high,no
62,engineer,AB,76,primary,no
90,student,O,84,primary,no
69,teacher,A,58,doctor,no
