Gender,Occupations,Blood group,Weight,Education,Choosed
male,programmer,O,86,doctor,no
third,neet,B,71,doctor,no
male,neet,O,86,senior high,no
female,teacher,AB,88,university,no
female,neet,A,80,primary,no
female,scientest,B,37,senior high,no
male,singer,AB,70,primary,no
male,teacher,O,71,master,no
female,programmer,O,61,senior high,yes
female,teacher,A,78,senior high,no
female,student,AB,95,master,no
third,programmer,B,57,senior high,no
third,singer,AB,40,university,no
third,chef,A,98,senior high,yes
third,neet,B,96,senior high,no
male,student,AB,75,university,no
third,student,B,86,master,no
female,neet,AB,54,university,no
third,singer,O,66,doctor,no
male,scientest,A,37,senior high,no
male,student,B,44,primary,no
third,singer,B,94,primary,no
male,student,A,36,master,no
male,salesman,A,36,senior high,no
third,singer,B,35,doctor,no
third,salesman,O,60,doctor,yes
third,student,AB,68,doctor,no
male,teacher,AB,95,senior high,no
female,engineer,B,57,primary,no
female,student,B,60,master,no
male,scientest,A,37,primary,no
third,scientest,O,41,senior high,no
female,programmer,B,55,junior high,no
third,scientest,O,49,junior high,no
third,singer,O,35,doctor,no
female,scientest,B,92,master,no
female,programmer,A,64,junior high,no
third,neet,AB,71,university,no
female,student,B,86,university,no
male,salesman,O,93,university,no
female,neet,O,80,university,no
third,teacher,AB,53,doctor,no
third,student,A,92,master,no
male,student,O,49,master,no
male,neet,O,68,junior high,no
male,student,AB,57,junior high,no
male,engineer,AB,35,master,no
female,scientest,AB,49,primary,no
female,programmer,AB,49,doctor,no
female,programmer,AB,73,master,no
male,student,AB,50,master,no
male,student,AB,77,junior high,no
third,student,B,57,senior high,no
female,teacher,B,74,primary,no
male,salesman,A,42,primary,no
third,programmer,B,88,university,no
female,chef,A,76,junior high,yes
female,salesman,AB,41,senior high,no
female,salesman,AB,64,master,no
male,programmer,B,70,senior high,no
third,neet,A,41,primary,no
third,programmer,O,88,master,yes
female,student,AB,98,master,no
female,teacher,A,81,primary,no
female,scientest,AB,35,master,no
female,student,A,35,junior high,no
third,teacher,O,93,junior high,no
third,singer,B,94,senior high,no
female,programmer,AB,55,master,yes
male,programmer,B,43,doctor,no
male,chef,A,97,university,yes
